ID,Label,Cost,NitRed,SedRed
337,Sub056 ISO-M-L,1348438.147,2735.4909,528.9786
338,Sub057 ISO-P-S,128455.0632,384.1135,57.4335
339,Sub057 ISO-P-M,380881.794,616.871,98.5436
340,Sub057 ISO-P-L,633203.8778,837.6555,135.3304
341,Sub057 ISO-M-S,96425.5354,-9690.2801,57.4335
342,Sub057 ISO-M-M,284793.2103,613.1859,97.8434
343,Sub057 ISO-M-L,473056.2384,826.6618,133.2668
344,Sub058 ISO-P-S,237383.6273,1103.8106,158.3993
345,Sub058 ISO-P-M,703593.9792,1103.8106,158.3993
346,Sub058 ISO-P-L,1169604.605,-53666.1663,-19346.2533
347,Sub058 ISO-M-S,176252.8306,640.2162,87.9934
348,Sub058 ISO-M-M,520201.589,704.2958,97.7173
349,Sub058 ISO-M-L,863950.6208,773.8313,106.0365
350,Sub059 ISO-P-S,150202.661,998.2351,130.9846
351,Sub059 ISO-P-M,445176.8563,998.2351,130.9846
352,Sub059 ISO-P-L,740024.2836,998.2351,130.9846
353,Sub059 ISO-M-S,111402.5113,956.0566,122.5804
354,Sub059 ISO-M-M,328776.4071,972.2479,125.4046
355,Sub059 ISO-M-L,546023.535,986.6439,128.0695
356,Sub060 ISO-P-S,104723.0657,447.1876,87.9577
357,Sub060 ISO-P-M,310402.5645,608.9184,125.8816
358,Sub060 ISO-P-L,515994.1465,608.9184,125.8816
359,Sub060 ISO-M-S,77814.1185,445.1221,87.2409
360,Sub060 ISO-M-M,229675.723,605.3285,124.4696
361,Sub060 ISO-M-L,381449.4106,607.4227,125.2438
362,Sub061 ISO-P-S,313175.4845,253.1362,38.3616
363,Sub061 ISO-P-M,928353.2841,757.8551,115.0412
364,Sub061 ISO-P-L,1543270.291,1273.0614,191.7939
365,Sub061 ISO-M-S,233353.9922,253.1362,38.3616
366,Sub061 ISO-M-M,688888.8074,757.8551,115.0412
367,Sub061 ISO-M-L,1144162.83,1273.0614,191.7939
368,Sub062 ISO-P-S,352430.0059,215.8578,49.9016
369,Sub062 ISO-P-M,1044546.621,410.4528,94.7125
370,Sub062 ISO-P-L,1736365.793,585.1693,135.9548
371,Sub062 ISO-M-S,261390.76,215.8578,49.9016
372,Sub062 ISO-M-M,771428.8837,410.4528,94.7125
373,Sub062 ISO-M-L,1281169.564,585.1693,135.9548
374,Sub063 ISO-P-S,373909.2616,877.1369,60.4163
375,Sub063 ISO-P-M,1108587.391,987.5095,67.1103
376,Sub063 ISO-P-L,1842958.81,987.5095,67.1103
377,Sub063 ISO-M-S,280033.8514,820.2738,52.1592
378,Sub063 ISO-M-M,826961.1604,870.8622,57.1028
379,Sub063 ISO-M-L,1373581.759,917.4544,60.193
380,Sub064 ISO-P-S,288607.8985,3.7764,1.0043
381,Sub064 ISO-P-M,855708.0201,3.7764,1.0043
382,Sub064 ISO-P-L,1422572.032,3.7764,1.0043
383,Sub064 ISO-M-S,216341.1772,3.7764,1.0043
384,Sub064 ISO-M-M,638907.8562,3.7764,1.0043
385,Sub064 ISO-M-L,1061238.425,3.7764,1.0043
