ID,Generation,Outlet.Sediment,SedRed,Duck,Cost,sedbcr,duckbcr,Type,lambdaSedBcr0,lambdaSedBcr0.1,lambdaSedBcr0.2,lambdaSedBcr0.3,lambdaSedBcr0.4,lambdaSedBcr0.5,lambdaSedBcr0.6,lambdaSedBcr0.7,lambdaSedBcr0.8,lambdaSedBcr0.9,lambdaSedBcr1
155,-1,211248.1502,2.2938,0,2129.4487,1.077180211,0,TLMO Reduced 155,0,0.107718021,0.215436042,0.323154063,0.430872084,0.538590106,0.646308127,0.754026148,0.861744169,0.96946219,1.077180211
156,-1,211250.4321,0.0119,0,208.3851,0.05710581,0,TLMO Reduced 156,0,0.005710581,0.011421162,0.017131743,0.022842324,0.028552905,0.034263486,0.039974067,0.045684648,0.051395229,0.05710581
157,-1,211250.4393,0.0047,0,2.364,1.988155668,0,TLMO Reduced 157,0,0.198815567,0.397631134,0.596446701,0.795262267,0.994077834,1.192893401,1.391708968,1.590524535,1.789340102,1.988155668
158,-1,211214.2797,36.1643,0,15080.7408,2.398045327,0,TLMO Reduced 158,0,0.239804533,0.479609065,0.719413598,0.959218131,1.199022663,1.438827196,1.678631729,1.918436261,2.158240794,2.398045327
159,-1,211250.3456,0.0984,0,13.2841,7.407351646,0,TLMO Reduced 159,0,0.740735165,1.481470329,2.222205494,2.962940658,3.703675823,4.444410988,5.185146152,5.925881317,6.666616481,7.407351646
160,-1,211250.3653,0.0787,0,38.9087,2.022683873,0,TLMO Reduced 160,0,0.202268387,0.404536775,0.606805162,0.809073549,1.011341936,1.213610324,1.415878711,1.618147098,1.820415485,2.022683873
161,-1,211247.67,2.774,0,374.6327,7.404585878,0,TLMO Reduced 161,0,0.740458588,1.480917176,2.221375764,2.961834351,3.702292939,4.442751527,5.183210115,5.923668703,6.664127291,7.404585878
162,-1,211250.2172,0.2268,0,43.095,5.262791507,0,TLMO Reduced 162,0,0.526279151,1.052558301,1.578837452,2.105116603,2.631395754,3.157674904,3.683954055,4.210233206,4.736512356,5.262791507
163,-1,211247.2778,3.1662,0,707.8036,4.47327479,0,TLMO Reduced 163,0,0.447327479,0.894654958,1.341982437,1.789309916,2.236637395,2.683964874,3.131292353,3.578619832,4.025947311,4.47327479
164,-1,211243.5235,6.9205,0,4737.1022,1.460914227,0,TLMO Reduced 164,0,0.146091423,0.292182845,0.438274268,0.584365691,0.730457114,0.876548536,1.022639959,1.168731382,1.314822805,1.460914227
165,-1,211250.1278,0.3162,0,400.1142,0.790274377,0,TLMO Reduced 165,0,0.079027438,0.158054875,0.237082313,0.316109751,0.395137188,0.474164626,0.553192064,0.632219501,0.711246939,0.790274377
166,-1,211241.0316,9.4124,0,4735.2142,1.987745348,0,TLMO Reduced 166,0,0.198774535,0.39754907,0.596323605,0.795098139,0.993872674,1.192647209,1.391421744,1.590196279,1.788970814,1.987745348
167,-1,211221.8695,28.5745,0,3859.0471,7.404548133,0,TLMO Reduced 167,0,0.740454813,1.480909627,2.22136444,2.961819253,3.702274067,4.44272888,5.183183693,5.923638507,6.66409332,7.404548133
168,-1,211243.1172,7.3268,0,3686.0197,1.987726761,0,TLMO Reduced 168,0,0.198772676,0.397545352,0.596318028,0.795090704,0.993863381,1.192636057,1.391408733,1.590181409,1.788954085,1.987726761
169,-1,211245.5527,4.8913,0,2039.6971,2.398052142,0,TLMO Reduced 169,0,0.239805214,0.479610428,0.719415643,0.959220857,1.199026071,1.438831285,1.6786365,1.918441714,2.158246928,2.398052142
170,-1,211213.4683,36.9757,0,4993.6498,7.404544067,0,TLMO Reduced 170,0,0.740454407,1.480908813,2.22136322,2.961817627,3.702272034,4.44272644,5.183180847,5.923635254,6.66408966,7.404544067
171,-1,211250.43,0.014,0,2.6607,5.261773218,0,TLMO Reduced 171,0,0.526177322,1.052354644,1.578531965,2.104709287,2.630886609,3.157063931,3.683241252,4.209418574,4.735595896,5.261773218
172,-1,211250.433,0.011,0,2.0883,5.267442417,0,TLMO Reduced 172,0,0.526744242,1.053488483,1.580232725,2.106976967,2.633721209,3.16046545,3.687209692,4.213953934,4.740698176,5.267442417
173,-1,211249.2334,1.2106,0,163.4866,7.404888229,0,TLMO Reduced 173,0,0.740488823,1.480977646,2.221466469,2.961955292,3.702444115,4.442932938,5.183421761,5.923910583,6.664399406,7.404888229
174,-1,211248.9076,1.5364,0,291.954,5.262472855,0,TLMO Reduced 174,0,0.526247286,1.052494571,1.578741857,2.104989142,2.631236428,3.157483713,3.683730999,4.209978284,4.73622557,5.262472855
175,-1,211250.3928,0.0512,0,16.6796,3.069617976,0,TLMO Reduced 175,0,0.306961798,0.613923595,0.920885393,1.227847191,1.534808988,1.841770786,2.148732584,2.455694381,2.762656179,3.069617976
176,-1,211250.4029,0.0411,0,13.3776,3.072299964,0,TLMO Reduced 176,0,0.307229996,0.614459993,0.921689989,1.228919986,1.536149982,1.843379978,2.150609975,2.457839971,2.765069968,3.072299964
177,-1,211250.4264,0.0176,0,3.3359,5.275937528,0,TLMO Reduced 177,0,0.527593753,1.055187506,1.582781258,2.110375011,2.637968764,3.165562517,3.69315627,4.220750022,4.748343775,5.275937528
178,-1,211250.4089,0.0351,0,6.6718,5.260949069,0,TLMO Reduced 178,0,0.526094907,1.052189814,1.578284721,2.104379628,2.630474535,3.156569442,3.682664348,4.208759255,4.734854162,5.260949069
179,-1,211249.7233,0.7207,0,997.2252,0.722705363,0,TLMO Reduced 179,0,0.072270536,0.144541073,0.216811609,0.289082145,0.361352681,0.433623218,0.505893754,0.57816429,0.650434827,0.722705363
