ld,Name_str,mean,std,q25,q50,q75
lambda0.4,Sub ISO-P-L,392.81424935743587,5663.112544838486,0.6188926990413637,1.7472826940979291,10.289352164409614
lambda0.4,Sub ISO-P-M,512.6015143091047,7390.057949617864,0.8076217582289864,2.2801101446442114,13.427052377462816
lambda0.4,Sub ISO-P-S,705.9513306554936,10177.537712087245,1.1122512106826912,3.140152234669436,18.491645514209374
lambda0.4,Sub InC-M-L,1250.3816151448534,18026.463709362328,1.9700203184954768,5.56184038826152,32.75241873016117
lambda0.4,Sub InC-M-M,3718.3844785572146,53607.09246544918,5.858445842461715,16.539799307212643,97.39913316570104
lambda0.4,Sub InC-M-S,17102.395773115113,246561.30017674356,26.94542750781315,76.0734118246975,447.97909763341625
lambda0.4,Sub InC-P-L,847.9100465378381,12224.123817549382,1.3359121724950154,3.77160083395862,22.210103342330832
lambda0.4,Sub InC-P-M,2412.7020032618175,34783.368994326185,3.8012970690950976,10.73197437010181,63.198167123382845
lambda0.4,Sub InC-P-S,10328.306855643974,148900.82072332417,16.272611588996874,45.94148979503689,270.53903129442386
lambda0.5,BS,813.4323989036976,11633.87446894761,1.6931086378413864,4.831230008436572,28.377485078442813
lambda0.5,BS+CC,421.47460498062634,6028.014931299048,0.8772730165226281,2.503269801056235,14.703605769698763
lambda0.5,BS+CC+FM,369.1611465849139,5279.817282874308,0.7683858263830302,2.192563772642451,12.878593160136052
lambda0.5,BS+FM,380.04909582930793,5435.5389321524535,0.7910484114225578,2.257230716313182,13.258431260553577
lambda0.5,BS+GW,451.29512074493266,6454.513971008778,0.9393425540693002,2.680383192189586,15.743927303822028
lambda0.5,BS+GW+CC,347.8787942714266,4975.432781405329,0.7240879417842432,2.066161210750875,12.136134861174668
lambda0.5,BS+GW+CC+FM,309.5365022692653,4427.0535766845915,0.644280860248042,1.8384343191705304,10.798521777861199
lambda0.5,BS+GW+FM,294.9688640496022,4218.704272446147,0.613959232862778,1.7519125491823468,10.290313675056627
lambda0.5,CC,373.8611253631973,5347.037328678933,0.778168538109176,2.2204784199361427,13.042557095958529
lambda0.5,CC+FM,320.86351988497853,4589.054870493863,0.6678573386277981,1.9057090275358193,11.193677261963373
lambda0.5,FM,63.85373048145934,913.2489507382643,0.13290754435434513,0.37924732192671123,2.227607710711617
lambda0.5,GW,52.252170003391534,747.3210894585183,0.10875962218609952,0.31034201743936407,1.8228744964989385
lambda0.5,GW+CC,270.0315394428766,3862.0456189955958,0.562053752145258,1.6038019610959724,9.4203476423815
