Subbasin,Label,Practices,Select,subbasin
Sub074,Sub074 ISO-M-L, ISO-M-L,0,74
Sub075,Sub075 ISO-P-S, ISO-P-S,0,75
Sub075,Sub075 ISO-P-M, ISO-P-M,0,75
Sub075,Sub075 ISO-P-L, ISO-P-L,1,75
Sub075,Sub075 ISO-M-S, ISO-M-S,0,75
Sub075,Sub075 ISO-M-M, ISO-M-M,1,75
Sub075,Sub075 ISO-M-L, ISO-M-L,0,75
Sub076,Sub076 ISO-P-S, ISO-P-S,0,76
Sub076,Sub076 ISO-P-M, ISO-P-M,0,76
Sub076,Sub076 ISO-P-L, ISO-P-L,1,76
Sub076,Sub076 ISO-M-S, ISO-M-S,0,76
Sub076,Sub076 ISO-M-M, ISO-M-M,1,76
Sub076,Sub076 ISO-M-L, ISO-M-L,0,76
Sub077,Sub077 ISO-P-S, ISO-P-S,1,77
Sub077,Sub077 ISO-P-M, ISO-P-M,0,77
Sub077,Sub077 ISO-P-L, ISO-P-L,0,77
Sub077,Sub077 ISO-M-S, ISO-M-S,0,77
Sub077,Sub077 ISO-M-M, ISO-M-M,0,77
